event_id,actor1_country,actor1_type,actor2_country,event_code,lat,lon,action_country,action_geo,avg_tone,date,_source,_fetched_at,_run_id
1313531647,IRN,IRAN,IRN,,010,010,0.0,1,-5.02901353965183,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531047,AREBUS,UNITED ARAB EMIRATES,ARE,GOVMIL,190,190,-10.0,8,-4.8,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313524395,IRNGOV,IRANIAN,IRN,QAT,010,010,0.0,356,-3.14408605233586,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531046,ARE,DUBAI,ARE,MED,130,130,-4.4,12,-6.10281540133185,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528352,IRNMOS,IRAN,IRN,MIL,130,130,-4.4,5,-3.78590078328982,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528351,IRNMOS,IRAN,IRN,BUS,015,015,0.0,6,-4.62633451957295,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528350,IRNMOS,IRAN,IRN,BUS,015,015,0.0,2,-4.62633451957295,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528349,IRNMOS,IRAN,IRN,BUS,015,015,0.0,2,-4.62633451957295,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528348,IRNMIL,IRAN,IRN,IRN,013,013,0.4,1,-3.96825396825397,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528347,IRNMED,IRAN,IRN,IRN,060,060,6.0,12,-5.26820299736793,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528346,IRNMED,IRANIAN,IRN,,060,060,6.0,6,-5.26820299736793,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528345,IRNGOV,IRANIAN,IRN,SWEGOV,020,020,3.0,3,-8.93617021276592,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528344,IRNGOV,IRANIAN,IRN,OPP,141,141,-6.5,6,-8.93617021276592,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528343,IRNGOV,IRANIAN,IRN,IRN,172,172,-5.0,3,-6.32022471910113,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528342,IRNGOV,IRANIAN,IRN,IRN,172,172,-5.0,3,-6.32022471910113,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528341,IRNGOV,IRAN,IRN,IRN,050,050,3.5,12,-6.20853305577784,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528340,IRNGOV,AYATOLLAH KHAMENEI,IRN,IRN,043,043,2.8,2,-2.55720053835801,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528339,IRNGOV,IRANIAN,IRN,GOV,042,042,1.9,7,-8.22510822510823,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528338,IRNGOV,IRAN,IRN,GOV,042,042,1.9,1,-8.22510822510823,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528353,IRQ,IRAQ,IRQ,IRQGOV,051,051,3.4,2,5.88235294117647,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528637,QAT,QATAR,QAT,,090,090,-2.0,4,-11.138014527845,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528638,QAT,QATAR,QAT,PAK,174,174,-5.0,10,-11.138014527845,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531039,ARE,UNITED ARAB EMIRATES,ARE,GBR,043,043,2.8,1,1.32325141776937,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531045,ARE,UNITED ARAB EMIRATES,ARE,IRN,190,190,-10.0,4,-9.70149253731338,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531044,ARE,UNITED ARAB EMIRATES,ARE,IRN,190,190,-10.0,6,-9.70149253731338,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531043,ARE,UNITED ARAB EMIRATES,ARE,IRN,190,190,-10.0,1,-2.95031055900621,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531042,ARE,UNITED ARAB EMIRATES,ARE,IRN,190,190,-10.0,3,-2.25863106297889,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531041,ARE,UNITED ARAB EMIRATES,ARE,IRN,190,190,-10.0,4,-2.95031055900621,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531040,ARE,UNITED ARAB EMIRATES,ARE,IRN,190,190,-10.0,1,-2.95031055900621,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313531038,ARE,UNITED ARAB EMIRATES,ARE,GBR,043,043,2.8,1,1.32325141776937,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528639,QATMOS,QATAR,QAT,QAT,071,071,7.4,5,1.01010101010101,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313530908,SAU,SAUDI ARABIA,SAU,GOV,112,112,-2.0,2,-7.07964601769912,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528663,SAUEDU,RIYADH,SAU,BUS,031,031,5.2,14,2.66714082503556,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528662,SAU,SAUDI ARABIA,SAU,JORELI,046,046,7.0,3,6.17848970251716,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528661,SAU,SAUDI ARABIA,SAU,EGY,046,046,7.0,3,6.17848970251716,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528660,SAU,RIYADH,SAU,BUS,031,031,5.2,4,2.7027027027027,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313528659,SAU,SAUDI ARABIA,SAU,ARE,046,046,7.0,2,6.17848970251716,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313532326,ARE,ABU DHABI,ARE,IRN,111,111,-2.0,30,-5.45454545454545,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313532327,ARE,UNITED ARAB EMIRATES,ARE,PHLGOV,051,051,3.4,10,4.44444444444445,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313532328,AREGOVMIL,UNITED ARAB EMIRATES,ARE,BUS,194,194,-10.0,10,-5.09554140127389,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313532329,AREGOVMIL,EMIRATI,ARE,KENBUS,1123,112,-2.0,84,-4.97175130019929,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313534963,IRN,IRAN,IRN,BHR,190,190,-10.0,4,-4.38178842434161,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313534962,IRN,IRAN,IRN,ARE,138,138,-7.0,1,-2.69058295964125,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313534961,IRN,ISFAHAN,IRN,,172,172,-5.0,7,-1.3715710723192,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313534960,IRN,ISFAHAN,IRN,,172,172,-5.0,1,-1.3715710723192,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
1313534959,IRN,IRAN,IRN,,111,111,-2.0,10,-5.60975609756098,2026-07-14,GDELT,2026-07-15T14:55:58.784144+00:00,50c7068c8027
