date,usd_jpy,usd_cny,_source,_fetched_at,_run_id
2026-05-08,156.65,6.8005,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-11,157.16,6.7963,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-12,157.61,6.7955,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-13,157.85,6.7903,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-14,158.35,6.7851,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-15,158.76,6.814,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-18,158.83,6.7995,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-19,159.04,6.8122,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-20,158.91,6.7972,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-21,158.96,6.796,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-22,159.19,6.7978,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-25,158.89,6.7834,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-26,159.29,6.7865,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-27,159.51,6.7793,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-28,159.23,6.7796,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-05-29,159.26,6.7663,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-01,159.65,6.766,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-02,159.89,6.765,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-03,160.03,6.7793,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-04,160.01,6.7742,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-05,160.29,6.7878,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-08,160.17,6.7842,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-09,160.36,6.7734,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-10,160.53,6.7738,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-11,159.92,6.772,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-12,160.21,6.7619,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-15,160.32,6.7568,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-16,160.45,6.7575,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-17,160.63,6.763,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-18,161.37,6.7728,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-19,161.28,6.7686,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-22,161.54,6.7773,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-23,161.57,6.7938,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-24,161.77,6.8157,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-25,161.78,6.8034,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-26,161.73,6.7978,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-29,161.94,6.796,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-06-30,162.54,6.788,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-07-01,162.56,6.788,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-07-02,161.09,6.7909,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-07-03,161.37,6.778,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-07-06,162.08,6.7924,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-07-07,162.09,6.801,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-07-08,162.58,6.8052,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-07-09,162.37,6.7979,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-07-10,161.69,6.7809,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-07-13,162.42,6.7851,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-07-14,162.23,6.7766,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
2026-07-15,,6.776,AlphaVantage,2026-07-15T14:55:53.714697+00:00,50c7068c8027
